Run,Run2,CS,F,D,MRR,Ra,Ry,Rz,Rq,Rt,Rsm,PC1,PC2,PC3,PC4
1,1,200,0.1,0.1,2,0.1500,1.0567,0.7108,0.1908,1.4417,110.5000,-9.4071,1.1444,-1.1762,-0.21563
2,2,240,0.1,0.1,2.4,0.1600,1.0567,0.7083,0.2000,1.4117,129.5000,-8.6892,-2.3481,0.51341,-0.38922
3,3,200,0.2,0.1,4,0.4000,2.4108,1.6058,0.4883,3.5467,190.0000,3.8576,1.7529,-4.6574,-1.3309
4,5,200,0.1,0.2,4,0.2000,1.5100,1.0092,0.2492,2.2108,68.0833,-2.6993,1.9755,-2.4395,1.2132
5,6,240,0.1,0.2,4.8,0.1800,1.2117,0.7833,0.2233,1.6792,152.8333,-0.62019,-0.56432,2.6786,-1.2023
6,8,240,0.2,0.2,9.6,0.5300,2.9692,2.2750,0.6400,3.4642,197.8333,23.577,7.2068,-0.65263,-1.0093
7,9,186.3641434,0.15,0.15,4.193193226,0.2908,2.0308,1.3267,0.3658,2.6792,160.8333,2.1232,-4.4243,-2.9789,-0.60623
8,12,220,0.234089642,0.15,7.72495817,0.5117,2.7567,2.1467,0.6167,3.3892,219.2500,19.546,-7.3561,-0.17264,-1.3572
9,14,220,0.15,0.234089642,7.72495817,0.2525,1.9633,1.2850,0.3208,2.8492,67.5000,20.99,-7.1539,-0.28447,2.0321
10,15,220,0.15,0.15,4.95,0.1900,1.4567,0.9433,0.2425,2.0425,120.3333,6.0555,-3.5324,-1.1102,2.5547
1,1,200,0.1,0.1,2,0.1500,1.0317,0.7058,0.1883,1.4442,111.1667,-8.9568,1.5838,-1.0545,-0.41954
2,2,240,0.1,0.1,2.4,0.1617,1.0758,0.7200,0.2025,1.5125,116.3333,-9.6815,-1.0623,1.7861,-1.394
3,3,200,0.2,0.1,4,0.4000,2.4083,1.6025,0.4908,3.5408,189.2500,-0.29573,1.9016,-3.9558,-2.3462
4,5,200,0.1,0.2,4,0.2000,1.4883,1.0017,0.2517,2.1767,65.9167,-2.7378,2.2585,-2.8343,0.42221
5,6,240,0.1,0.2,4.8,0.1767,1.1700,0.7633,0.2183,1.6083,163.8333,-1.9098,-0.45273,2.7134,-0.71985
6,8,240,0.2,0.2,9.6,0.5300,2.9783,2.2700,0.6383,3.4817,194.9167,23.885,8.2907,-0.25492,-1.5623
7,9,186.3641434,0.15,0.15,4.193193226,0.3258,2.3758,1.5308,0.4250,3.6350,141.3333,1.5445,-3.9,-3.1056,-1.1792
8,12,220,0.234089642,0.15,7.72495817,0.5133,2.7275,2.1208,0.6150,3.3475,220.7500,1.1202,-5.3261,-0.45143,-0.72271
9,14,220,0.15,0.234089642,7.72495817,0.2500,1.8617,1.2450,0.3167,2.5758,67.8333,15.755,-5.413,0.07052,2.1366
10,15,220,0.15,0.15,4.95,0.2000,1.4308,0.9317,0.2433,2.0025,111.4167,2.4119,-1.1304,1.0322,-1.9626
1,1,200,0.1,0.1,2,0.1500,1.0192,0.6967,0.1850,1.4283,106.2500,-9.5431,1.9614,-1.3541,-1.7401
2,2,240,0.1,0.1,2.4,0.1617,1.0825,0.7208,0.2025,1.5083,129.0000,-8.4599,-1.5556,2.0679,-1.6871
3,3,200,0.2,0.1,4,0.4000,2.3950,1.5883,0.4867,3.5533,187.6667,0.16369,2.1881,-4.9925,-2.4868
4,5,200,0.1,0.2,4,0.2000,1.4733,1.0042,0.2533,2.1450,61.5833,-4.756,2.3917,-3.585,-0.44278
5,6,240,0.1,0.2,4.8,0.1775,1.1900,0.7683,0.2192,1.6333,162.5833,-2.9899,-0.30966,3.6764,-0.39375
6,8,240,0.2,0.2,9.6,0.5200,2.9767,2.2625,0.6367,3.4967,195.9167,20.265,8.3457,-0.16356,-2.8613
7,9,186.3641434,0.15,0.15,4.193193226,0.2808,2.2350,1.3892,0.3658,3.1050,135.3333,1.2199,-3.663,-3.692,-1.4673
8,12,220,0.234089642,0.15,7.72495817,0.5108,2.7042,2.1258,0.6125,3.2467,220.1667,-11.693,-2.8631,1.2816,-1.1364
9,14,220,0.15,0.234089642,7.72495817,0.2508,1.8825,1.2475,0.3175,2.6475,69.6667,12.983,-5.2966,0.75859,2.2314
10,15,220,0.15,0.15,4.95,0.1900,1.4117,0.9108,0.2375,1.9842,112.7500,2.0313,-2.3176,0.091135,1.5459
1,1,200,0.1,0.1,2,0.1400,1.0517,0.7600,0.1775,1.4608,79.0000,-9.9204,1.9099,-1.9232,-2.1117
2,2,240,0.1,0.1,2.4,0.1717,1.3275,0.8517,0.2200,1.8767,93.4167,-8.2103,-1.2052,2.7,-2.1628
3,3,200,0.2,0.1,4,0.4400,2.2267,1.6617,0.5117,2.7658,196.0833,-2.5744,2.7003,-4.8865,-2.6105
4,5,200,0.1,0.2,4,0.1900,1.3008,0.9825,0.2325,1.7442,49.9167,-6.2335,2.6384,-3.7865,0.67548
5,6,240,0.1,0.2,4.8,0.1717,1.3408,0.8458,0.2225,2.0350,107.0833,-3.9556,0.044633,3.6978,-0.027766
6,8,240,0.2,0.2,9.6,0.5300,2.8375,2.2383,0.6292,3.2383,195.5000,17.645,8.0752,0.66611,-2.8803
7,9,186.3641434,0.15,0.15,4.193193226,0.3083,2.1483,1.4142,0.3967,3.0800,105.4167,0.94379,-3.0885,-4.8279,-1.3796
8,12,220,0.234089642,0.15,7.72495817,0.5042,2.7608,2.2217,0.6125,3.2417,224.3333,10.806,-6.8573,-1.8956,-0.9887
9,14,220,0.15,0.234089642,7.72495817,0.2433,1.8208,1.2125,0.3100,2.6883,73.7500,9.6758,-3.8703,0.58061,2.3181
10,15,220,0.15,0.15,4.95,0.1800,1.2933,0.9192,0.2267,2.1025,79.5833,0.74906,-1.7114,1.2636,2.084
1,1,200,0.1,0.1,2,0.1400,1.0367,0.7592,0.1750,1.4308,75.5000,-10.438,1.9182,-1.7852,-1.8055
2,2,240,0.1,0.1,2.4,0.1725,1.3225,0.8650,0.2192,1.8125,92.5000,-8.6327,-0.83581,2.3877,-1.7535
3,3,200,0.2,0.1,4,0.4300,2.1933,1.6442,0.5067,2.7300,194.7500,-2.8523,2.545,-4.275,-1.8265
4,5,200,0.1,0.2,4,0.1900,1.3075,0.9867,0.2342,1.7017,50.0833,-6.5298,2.3751,-1.6971,1.0567
5,6,240,0.1,0.2,4.8,0.1717,1.3183,0.8425,0.2217,1.9508,99.7500,-5.122,0.25147,2.4823,-0.34165
6,8,240,0.2,0.2,9.6,0.5200,2.8258,2.2358,0.6275,3.2058,196.4167,16.364,7.9526,0.13532,-0.82354
7,9,186.3641434,0.15,0.15,4.193193226,0.2492,1.6825,1.1792,0.3100,2.3092,92.6667,1.0151,-3.1096,-4.0552,-0.45888
8,12,220,0.234089642,0.15,7.72495817,0.5033,2.7458,2.2150,0.6108,3.2558,219.0000,13.901,-7.0692,-1.9892,-1.7561
9,14,220,0.15,0.234089642,7.72495817,0.2492,1.8825,1.2300,0.3183,2.9175,76.5000,10.564,-4.3668,0.78138,2.5548
10,15,220,0.15,0.15,4.95,0.1800,1.2442,0.9083,0.2233,1.9092,80.6667,-0.86455,-1.8612,1.0949,1.2467
1,1,200,0.1,0.1,2,0.1400,1.0475,0.7517,0.1775,1.5350,77.1667,-10.656,2.4838,-2.2493,-2.3564
2,2,240,0.1,0.1,2.4,0.1708,1.3308,0.8583,0.2200,1.8792,87.6667,-9.5768,-0.57085,1.7233,-1.2778
3,3,200,0.2,0.1,4,0.4400,2.1833,1.6467,0.5092,2.7383,193.0000,-3.2356,2.0901,-3.7233,-1.2768
4,5,200,0.1,0.2,4,0.1900,1.2925,0.9883,0.2333,1.6558,48.6667,-7.3984,2.846,-1.8847,1.3102
5,6,240,0.1,0.2,4.8,0.1700,1.3025,0.8383,0.2192,1.9783,105.3333,-5.3649,1.1981,2.9641,-0.68826
6,8,240,0.2,0.2,9.6,0.5300,2.8400,2.2492,0.6300,3.2300,195.9167,15.119,8.2299,0.33759,-0.35107
7,9,186.3641434,0.15,0.15,4.193193226,0.2750,1.9142,1.2825,0.3408,2.3633,80.9167,0.90957,-3.1968,-3.0325,0.44974
8,12,220,0.234089642,0.15,7.72495817,0.5042,2.7350,2.2183,0.6133,3.2692,220.6667,7.9941,-6.3712,-1.4405,-1.5379
9,14,220,0.15,0.234089642,7.72495817,0.2458,1.9333,1.2467,0.3175,2.9083,77.0833,9.5721,-3.6625,1.0789,3.1477
10,15,220,0.15,0.15,4.95,0.1800,1.2792,0.8967,0.2250,2.1267,72.8333,-1.0429,-1.7148,1.7559,2.2562
1,1,200,0.1,0.1,2,0.1500,1.0900,0.7550,0.1842,1.5267,87.0000,-11.42,2.447,-2.8854,-2.0543
2,2,240,0.1,0.1,2.4,0.1433,1.0292,0.7483,0.1783,1.3425,81.3333,-10.121,-0.40911,2.1494,-0.81289
3,3,200,0.2,0.1,4,0.4700,2.4725,1.8917,0.5600,3.0617,194.4167,-2.9233,2.3744,-3.6526,-0.91256
4,5,200,0.1,0.2,4,0.1800,1.2333,0.9158,0.2233,1.5567,64.0000,-7.4592,2.423,-1.2604,2.01
5,6,240,0.1,0.2,4.8,0.1475,1.0392,0.7533,0.1842,1.3242,82.7500,-6.1109,0.97488,2.1596,-0.80681
6,8,240,0.2,0.2,9.6,0.5200,2.9533,2.2350,0.6217,3.5217,194.5000,14.358,8.1722,0.96655,-0.21326
7,9,186.3641434,0.15,0.15,4.193193226,0.2700,2.0450,1.3383,0.3425,2.7925,75.2500,-0.69538,-3.0876,-2.689,0.2477
8,12,220,0.234089642,0.15,7.72495817,0.5125,2.5617,2.0200,0.5967,2.9033,211.9167,12.226,-5.3201,-0.70551,-2.5341
9,14,220,0.15,0.234089642,7.72495817,0.2700,1.8442,1.2683,0.3342,2.5258,79.5833,9.3607,-3.6313,0.56836,1.288
10,15,220,0.15,0.15,4.95,0.1900,1.4950,1.0200,0.2467,2.1383,53.8333,-1.0589,-1.5987,1.6141,1.6682
1,1,200,0.1,0.1,2,0.1500,1.1108,0.7667,0.1867,1.5467,95.3333,-11.376,2.5617,-1.1763,-1.3337
